Rk,Tm,Yds,Wins,Losses
1,Dallas Cowboys,6919,12,5
2,Tampa Bay Buccaneers,6901,13,4
3,Buffalo Bills,6493,11,6
4,Kansas City Chiefs,6746,12,5
5,Los Angeles Chargers,6634,9,8
6,New England Patriots,6008,10,7
7,Cincinnati Bengals,6145,10,7
8,Los Angeles Rams,6325,12,5
9,Indianapolis Colts,5901,9,8
10,Green Bay Packers,6215,13,4
11,Arizona Cardinals,6352,11,6
12,Philadelphia Eagles,6119,9,8
13,San Francisco 49ers,6387,10,7
14,Minnesota Vikings,6168,8,9
15,Tennessee Titans,5822,3,13
16,Seattle Seahawks,5506,7,10
17,Baltimore Ravens,6440,8,9
18,Las Vegas Raiders,6184,10,7
19,New Orleans Saints,5177,9,8
20,Cleveland Browns,5791,8,9
21,Pittsburgh Steelers,5361,9,7
22,Miami Dolphins,5219,9,8
23,Denver Broncos,5618,7,10
24,Washington Football Team,5502,7,10
25,Detroit Lions,5484,3,13
26,Atlanta Falcons,5164,7,10
27,Chicago Bears,5225,6,11
28,New York Jets,5208,4,13
29,Carolina Panthers,5081,5,12
30,Houston Texans,4727,4,13
31,New York Giants,4884,4,13
32,Jacksonville Jaguars,5191,3,14
